id_attribute_group;group_name;group_position;id_attribute;attr_name;attr_position;
"4";"Контейнер";"0";"276";"BR - голий корінь";"0";
"4";"Контейнер";"0";"303";"RB - ком";"1";
"4";"Контейнер";"0";"32";"WRB - ком/сітка";"2";
"4";"Контейнер";"0";"105";"Касета 8х13";"3";
"4";"Контейнер";"0";"551";"P8.5";"4";
"4";"Контейнер";"0";"22";"P9 - горщик 9х9х9";"5";
"4";"Контейнер";"0";"546";"P9.5";"6";
"4";"Контейнер";"0";"400";"P10.5 - горщик 0.5л";"7";
"4";"Контейнер";"0";"480";"P11 - горщ. D11cm";"8";
"4";"Контейнер";"0";"254";"P12 - горщик 0.9л";"9";
"4";"Контейнер";"0";"543";"P14";"10";
"4";"Контейнер";"0";"548";"P15";"11";
"4";"Контейнер";"0";"29";"C1 - горщик 1л";"12";
"4";"Контейнер";"0";"141";"C1,5 - горщик 1,5л";"13";
"4";"Контейнер";"0";"30";"C2 - горщик 2л";"14";
"4";"Контейнер";"0";"31";"C5 - горщик 5л";"15";
"4";"Контейнер";"0";"181";"C7.5 - горщик 7,5л";"16";
"4";"Контейнер";"0";"33";"C10 - горщик 10л";"17";
"4";"Контейнер";"0";"36";"C15 - горщик 15л";"18";
"4";"Контейнер";"0";"74";"C15-C20 - горщик 15-20л";"19";
"4";"Контейнер";"0";"73";"C25 - горщик 25л";"20";
"4";"Контейнер";"0";"152";"C30-C35 - горщик 30-35л";"21";
"4";"Контейнер";"0";"161";"C50 - горщик 50л";"22";
"4";"Контейнер";"0";"143";"C80 - горщик 80л";"23";
"4";"Контейнер";"0";"190";"C2-C5 - горщик 2-5л";"24";
"4";"Контейнер";"0";"194";"C5-C7 - горщик 5-7л";"25";
